distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,temp_dif,fuel_used,trip_cost
28.0,5.0,26,21.5,12,E10,0,0,0,9.5,1.4000000000000001,2.45
12.0,4.2,30,21.5,13,E10,0,0,0,8.5,0.504,0.882
11.2,5.5,38,21.5,15,E10,0,0,0,6.5,0.616,1.078
12.9,3.9,36,21.5,14,E10,0,0,0,7.5,0.5031,0.880425
18.5,4.5,46,21.5,15,E10,0,0,0,6.5,0.8325,1.4568750000000001
8.3,6.4,50,21.5,10,E10,0,0,0,11.5,0.5312,0.9296
7.8,4.4,43,21.5,11,E10,0,0,0,10.5,0.3432,0.6006
12.3,5.0,40,21.5,6,E10,0,0,0,15.5,0.6150000000000001,1.0762500000000002
4.9,6.4,26,21.5,4,E10,0,0,0,17.5,0.31360000000000005,0.5488000000000001
11.9,5.3,30,21.5,9,E10,0,0,0,12.5,0.6307,1.103725
12.4,5.6,42,21.5,4,E10,0,0,0,17.5,0.6943999999999999,1.2151999999999998
11.8,4.6,38,21.5,0,E10,0,0,0,21.5,0.5428000000000001,0.9499000000000001
12.3,5.9,59,21.5,10,E10,0,0,0,11.5,0.7257000000000001,1.2699750000000003
24.7,5.1,58,21.5,12,E10,0,0,0,9.5,1.2596999999999998,2.2044749999999995
12.4,4.7,46,21.5,11,E10,0,0,0,10.5,0.5828,1.0199
17.3,5.1,24,21.5,5,E10,0,0,0,16.5,0.8823,1.544025
33.4,5.6,36,21.5,3,E10,0,0,0,18.5,1.8703999999999996,3.273199999999999
11.8,5.1,32,21.5,3,E10,0,0,0,18.5,0.6018,1.05315
25.9,4.9,39,21.5,8,E10,0,0,0,13.5,1.2691,2.220925
11.8,4.7,40,21.5,4,E10,0,0,0,17.5,0.5546,0.97055
25.3,5.5,32,21.5,3,E10,0,0,0,18.5,1.3915,2.4351249999999998
14.2,5.9,38,21.5,1,E10,0,0,0,20.5,0.8378,1.46615
17.9,5.7,37,21.5,1,E10,0,0,0,20.5,1.0203,1.785525
11.8,4.7,36,21.5,1,E10,0,0,0,20.5,0.5546,0.97055
12.3,5.9,62,21.5,6,E10,0,0,0,15.5,0.7257000000000001,1.2699750000000003
12.4,4.1,57,21.5,9,E10,0,0,0,12.5,0.5084,0.8896999999999999
18.4,5.7,21,22.5,2,E10,0,0,0,20.5,1.0488,1.8354
18.4,5.8,28,21.5,3,E10,0,0,0,18.5,1.0672,1.8676
18.3,5.5,29,21.5,1,E10,0,0,0,20.5,1.0065,1.761375
18.4,5.7,35,21.5,4,E10,0,0,0,17.5,1.0488,1.8354
12.3,5.3,51,21.5,11,E10,0,0,0,10.5,0.6519,1.140825
11.8,5.0,29,21.5,10,E10,0,0,0,11.5,0.5900000000000001,1.0325000000000002
12.3,5.6,58,21.5,8,E10,0,0,0,13.5,0.6888,1.2054
32.6,4.8,40,21.5,7,E10,0,0,0,14.5,1.5648000000000002,2.7384000000000004
19.0,4.3,36,21.5,7,E10,0,0,0,14.5,0.817,1.4297499999999999
12.1,5.7,36,21.5,8,E10,0,0,0,13.5,0.6897,1.206975
20.0,5.2,37,21.5,4,E10,0,0,0,17.5,1.04,1.82
4.9,7.4,26,21.5,6,E10,0,0,0,15.5,0.3626000000000001,0.6345500000000002
11.8,4.8,23,21.5,9,E10,0,0,0,12.5,0.5664,0.9912000000000001
12.3,6.5,58,21.5,7,E10,0,0,0,14.5,0.7995000000000001,1.3991250000000002
12.4,4.0,55,21.5,7,E10,1,1,0,14.5,0.49600000000000005,0.8680000000000001
4.5,5.0,29,21.5,7,E10,1,0,0,14.5,0.225,0.39375
11.7,4.6,37,21.5,6,E10,0,0,0,15.5,0.5382,0.9418500000000001
10.2,4.3,44,21.5,7,E10,0,0,0,14.5,0.43859999999999993,0.7675499999999998
5.4,3.3,32,21.5,7,SP98,0,0,0,14.5,0.17820000000000003,0.33501600000000004
2.0,9.9,21,21.5,4,SP98,0,0,0,17.5,0.198,0.37224
14.2,5.1,32,21.5,7,SP98,0,0,0,14.5,0.7242,1.3614959999999998
16.0,4.9,25,21.5,8,SP98,0,0,0,13.5,0.784,1.47392
11.8,4.9,25,21.5,11,SP98,0,0,0,10.5,0.5782,1.087016
27.3,4.7,36,21.5,10,SP98,0,0,0,11.5,1.2831000000000001,2.4122280000000003
11.8,5.1,29,21.5,5,SP98,0,1,0,16.5,0.6018,1.131384
10.6,4.9,63,21.5,6,SP98,0,0,0,15.5,0.5194,0.9764719999999999
11.6,4.2,61,21.5,7,SP98,0,0,0,14.5,0.4872,0.915936
13.1,6.1,46,21.5,6,SP98,0,1,0,15.5,0.7990999999999999,1.5023079999999998
6.1,6.4,28,21.5,8,SP98,0,0,0,13.5,0.39039999999999997,0.7339519999999999
153.5,4.9,82,21.5,3,SP98,0,1,0,18.5,7.5215000000000005,14.14042
11.8,4.9,24,21.5,7,SP98,0,0,0,14.5,0.5782,1.087016
12.3,6.2,61,21.5,8,SP98,0,0,0,13.5,0.7626000000000001,1.433688
12.4,4.2,57,21.5,8,SP98,0,0,0,13.5,0.5208,0.979104
12.3,5.7,52,21.5,8,SP98,0,1,0,13.5,0.7011000000000001,1.318068
2.9,7.9,18,21.5,9,SP98,1,1,0,12.5,0.2291,0.430708
2.1,12.2,23,21.5,9,SP98,1,1,0,12.5,0.2562,0.4816559999999999
9.8,5.8,24,21.5,6,SP98,0,0,0,15.5,0.5684,1.068592
6.8,5.3,26,21.5,6,SP98,0,0,0,15.5,0.3604,0.6775519999999999
12.4,5.4,24,21.5,7,SP98,0,0,0,14.5,0.6696000000000001,1.2588480000000002
12.4,4.7,57,21.5,8,SP98,0,0,0,13.5,0.5828,1.095664
11.8,4.6,41,21.5,6,SP98,0,0,0,15.5,0.5428000000000001,1.020464
12.3,5.4,55,21.5,8,SP98,0,0,0,13.5,0.6642000000000001,1.2486960000000003
14.0,4.3,40,21.5,8,SP98,0,0,0,13.5,0.602,1.1317599999999999
11.8,4.5,37,21.5,4,SP98,1,0,0,17.5,0.531,0.99828
12.3,5.2,55,21.5,12,SP98,0,0,0,9.5,0.6396000000000001,1.202448
2.0,6.2,20,21.5,10,SP98,0,0,0,11.5,0.124,0.23312
13.9,5.1,29,21.5,6,SP98,0,0,0,15.5,0.7089,1.3327319999999998
9.7,3.9,42,21.5,8,SP98,0,0,0,13.5,0.37829999999999997,0.711204
11.6,5.0,25,21.5,6,SP98,0,0,0,15.5,0.58,1.0903999999999998
14.2,5.4,38,21.5,7,SP98,0,0,0,14.5,0.7668,1.441584
11.8,4.5,39,21.5,6,SP98,0,0,0,15.5,0.531,0.99828
24.8,5.1,50,21.5,9,SP98,0,0,0,12.5,1.2648,2.377824
12.4,4.7,56,21.5,7,SP98,0,0,0,14.5,0.5828,1.095664
34.8,4.0,28,20.0,4,SP98,0,0,0,16.0,1.392,2.6169599999999997
14.2,5.4,36,20.0,6,SP98,0,0,0,14.0,0.7668,1.441584
5.2,4.5,39,20.0,10,SP98,0,0,0,10.0,0.23399999999999999,0.4399199999999999
10.5,3.6,42,20.0,10,SP98,0,0,0,10.0,0.37800000000000006,0.71064
12.3,5.2,57,20.0,10,SP98,0,0,0,10.0,0.6396000000000001,1.202448
11.8,4.9,25,20.0,11,SP98,0,0,0,9.0,0.5782,1.087016
12.3,6.2,58,20.0,11,SP98,0,1,0,9.0,0.7626000000000001,1.433688
13.2,4.3,51,20.0,11,SP98,0,1,0,9.0,0.5675999999999999,1.0670879999999998
13.0,5.0,45,20.0,11,SP98,0,1,0,9.0,0.65,1.222
12.9,5.1,32,20.0,11,SP98,0,0,0,9.0,0.6578999999999999,1.2368519999999998
13.9,5.6,22,20.0,8,SP98,0,0,0,12.0,0.7784,1.4633919999999998
11.8,4.3,37,20.0,6,SP98,0,0,0,14.0,0.5074,0.9539119999999999
12.2,5.8,60,20.0,11,SP98,0,0,0,9.0,0.7075999999999999,1.3302879999999997
12.5,4.0,51,20.0,13,SP98,0,0,0,7.0,0.5,0.94
12.4,4.7,43,21.929521276595743,10,SP98,0,0,0,11.929521276595743,0.5828,1.095664
11.8,5.9,21,20.0,9,SP98,1,1,0,11.0,0.6962,1.308856
11.8,5.3,52,21.929521276595743,11,SP98,0,0,0,10.929521276595743,0.6254000000000001,1.1757520000000001
12.5,4.2,57,20.0,11,SP98,0,0,0,9.0,0.525,0.987
15.7,5.3,33,21.929521276595743,9,SP98,0,0,0,12.929521276595743,0.8321,1.5643479999999998
12.9,5.7,35,21.929521276595743,9,SP98,0,0,0,12.929521276595743,0.7353000000000001,1.3823640000000001
6.4,4.4,37,21.929521276595743,10,SP98,0,0,0,11.929521276595743,0.2816,0.529408
5.3,4.1,34,21.929521276595743,9,SP98,0,0,0,12.929521276595743,0.21729999999999997,0.4085239999999999
26.2,5.8,71,21.0,8,SP98,1,1,0,13.0,1.5195999999999998,2.8568479999999994
18.8,5.0,62,21.929521276595743,9,SP98,0,1,0,12.929521276595743,0.9400000000000001,1.7672
4.9,6.9,25,21.0,12,SP98,0,1,0,9.0,0.33810000000000007,0.6356280000000001
12.4,5.4,18,21.0,11,SP98,1,1,0,10.0,0.6696000000000001,1.2588480000000002
22.9,5.3,45,20.5,7,SP98,0,0,0,13.5,1.2137,2.2817559999999997
162.7,5.5,75,23.0,1,SP98,0,0,0,22.0,8.9485,16.823179999999997
4.9,6.5,26,21.0,1,SP98,0,0,0,20.0,0.31850000000000006,0.5987800000000001
11.8,4.7,36,21.0,4,SP98,0,0,0,17.0,0.5546,1.0426479999999998
16.6,5.1,56,21.0,7,SP98,0,0,0,14.0,0.8466,1.591608
12.4,5.7,37,21.0,7,SP98,0,0,0,14.0,0.7068000000000001,1.3287840000000002
15.9,5.4,25,21.0,7,SP98,0,0,0,14.0,0.8586000000000001,1.6141680000000003
5.1,8.7,21,23.5,5,SP98,0,0,0,18.5,0.44369999999999993,0.8341559999999998
22.4,4.9,66,20.5,7,SP98,0,0,0,13.5,1.0976,2.0634879999999995
31.1,4.7,42,20.5,7,SP98,0,0,0,13.5,1.4617,2.7479959999999997
4.9,6.3,27,20.5,3,SP98,0,0,0,17.5,0.30870000000000003,0.580356
11.8,5.1,26,23.0,4,SP98,0,1,0,19.0,0.6018,1.131384
22.9,6.0,42,23.0,4,SP98,0,1,0,19.0,1.3739999999999999,2.5831199999999996
12.4,4.6,38,23.0,1,SP98,0,1,0,22.0,0.5704,1.072352
12.9,5.8,40,23.0,4,SP98,0,0,0,19.0,0.7482,1.4066159999999999
11.8,5.1,43,23.0,0,SP98,0,0,0,23.0,0.6018,1.131384
12.2,5.8,58,23.0,2,SP98,0,0,0,21.0,0.7075999999999999,1.3302879999999997
24.8,4.6,55,23.0,3,SP98,0,0,0,20.0,1.1408,2.144704
14.2,5.6,24,23.0,8,SP98,0,0,0,15.0,0.7951999999999999,1.4949759999999996
11.8,4.6,38,23.0,0,SP98,0,1,0,23.0,0.5428000000000001,1.020464
12.2,6.3,57,23.0,0,SP98,0,1,0,23.0,0.7686,1.4449679999999998
24.7,5.5,56,25.0,1,SP98,0,0,0,24.0,1.3585,2.55398
6.8,4.3,46,24.0,2,SP98,0,0,0,22.0,0.2924,0.549712
17.3,5.6,37,21.5,1,SP98,0,0,0,20.5,0.9688,1.8213439999999999
11.8,4.3,44,21.5,-3,SP98,0,0,0,24.5,0.5074,0.9539119999999999
15.9,5.7,46,21.5,5,SP98,0,0,0,16.5,0.9063000000000001,1.7038440000000001
5.1,6.4,39,21.5,4,SP98,0,0,0,17.5,0.32639999999999997,0.613632
16.1,4.5,33,21.5,6,SP98,0,0,0,15.5,0.7245,1.36206
11.8,4.5,43,21.5,3,SP98,0,0,0,18.5,0.531,0.99828
4.2,6.0,26,21.5,5,SP98,0,0,0,16.5,0.252,0.47375999999999996
17.4,5.1,30,21.5,5,SP98,0,0,0,16.5,0.8873999999999999,1.6683119999999996
23.5,6.0,25,21.5,5,SP98,0,1,0,16.5,1.41,2.6508
11.8,4.5,38,21.5,5,SP98,0,1,0,16.5,0.531,0.99828
12.3,6.1,61,21.5,10,SP98,0,1,0,11.5,0.7503000000000001,1.4105640000000002
16.1,5.4,24,21.5,7,E10,0,1,0,14.5,0.8694000000000002,1.5214500000000002
11.8,4.3,40,21.5,10,E10,0,1,0,11.5,0.5074,0.8879499999999999
12.3,5.4,58,21.5,13,E10,0,0,0,8.5,0.6642000000000001,1.1623500000000002
12.4,4.3,49,21.5,17,E10,0,0,0,4.5,0.5332,0.9331
7.0,5.2,25,21.5,17,E10,0,0,0,4.5,0.36400000000000005,0.6370000000000001
11.8,4.1,37,21.5,10,E10,0,0,0,11.5,0.48379999999999995,0.8466499999999999
20.1,4.4,41,21.5,18,E10,0,0,0,3.5,0.8844000000000002,1.5477000000000003
20.8,4.5,45,21.5,10,E10,0,0,0,11.5,0.9359999999999999,1.638
1.7,10.8,14,21.5,10,E10,0,1,0,11.5,0.1836,0.32130000000000003
35.9,4.7,45,21.5,12,E10,0,0,0,9.5,1.6873,2.952775
36.9,4.8,52,21.5,5,E10,0,0,0,16.5,1.7711999999999999,3.0995999999999997
16.8,4.0,46,21.5,8,E10,0,0,0,13.5,0.672,1.1760000000000002
9.9,5.0,28,21.5,9,E10,0,0,0,12.5,0.49500000000000005,0.8662500000000001
22.9,4.6,61,21.5,7,E10,0,1,0,14.5,1.0534,1.8434499999999998
17.3,5.0,61,21.5,6,E10,1,1,0,15.5,0.8650000000000001,1.5137500000000002
11.8,4.3,37,21.5,7,E10,0,0,0,14.5,0.5074,0.8879499999999999
36.6,5.2,80,21.5,7,E10,0,1,0,14.5,1.9032000000000002,3.3306000000000004
44.9,4.7,62,21.5,8,E10,0,0,0,13.5,2.1103,3.693025
11.8,4.2,34,21.5,9,E10,0,1,0,12.5,0.49560000000000004,0.8673000000000001
21.6,5.3,44,21.5,9,E10,0,1,0,12.5,1.1448,2.0034
39.4,5.3,60,21.5,9,E10,0,1,0,12.5,2.0882,3.65435
5.1,8.1,39,21.5,4,E10,0,0,0,17.5,0.41309999999999997,0.7229249999999999
26.6,4.8,38,21.5,7,E10,0,0,0,14.5,1.2768000000000002,2.2344000000000004
53.2,5.1,71,21.5,2,E10,0,0,0,19.5,2.7132,4.7481
18.9,4.4,53,21.5,2,E10,0,0,0,19.5,0.8316,1.4553
43.5,5.0,80,21.5,3,E10,0,0,0,18.5,2.1750000000000003,3.8062500000000004
6.1,6.3,26,21.5,5,E10,0,0,0,16.5,0.3843,0.6725249999999999
16.4,4.8,49,21.5,5,E10,0,0,0,16.5,0.7871999999999999,1.3775999999999997
12.3,6.1,40,21.5,6,E10,0,0,0,15.5,0.7503000000000001,1.313025
21.1,4.6,36,21.5,8,E10,0,0,0,13.5,0.9706,1.69855
21.1,4.8,43,21.5,7,E10,0,0,0,14.5,1.0128000000000001,1.7724000000000002
22.7,4.7,55,21.5,6,E10,0,0,0,15.5,1.0669,1.8670749999999998
44.4,4.8,38,21.5,8,E10,0,0,0,13.5,2.1311999999999998,3.7295999999999996
35.8,4.4,51,21.5,6,E10,0,0,0,15.5,1.5752,2.7565999999999997
11.8,4.9,44,21.5,0,E10,0,0,0,21.5,0.5782,1.0118500000000001
26.2,4.9,42,21.5,6,E10,0,0,0,15.5,1.2838,2.2466500000000003
40.6,4.4,44,21.0,3,E10,0,0,0,18.0,1.7864000000000002,3.1262000000000003
12.4,5.3,38,21.0,-5,E10,0,0,0,26.0,0.6572,1.1501000000000001
14.1,5.3,47,21.0,-3,E10,0,0,0,24.0,0.7473,1.307775
58.7,4.8,75,21.0,0,E10,0,0,0,21.0,2.8176,4.9308000000000005
16.2,5.2,29,21.0,0,E10,0,0,0,21.0,0.8424,1.4742000000000002
12.3,4.9,50,22.5,0,E10,0,0,0,22.5,0.6027,1.054725
12.3,7.1,52,22.5,0,E10,1,1,0,22.5,0.8733,1.5282749999999998
12.4,5.2,51,22.5,1,E10,0,0,0,21.5,0.6448,1.1284
31.8,4.7,59,22.5,3,E10,0,0,0,19.5,1.4946,2.61555
12.3,5.1,55,22.5,8,E10,0,0,0,14.5,0.6273,1.097775
51.6,5.0,73,22.5,12,E10,0,0,0,10.5,2.58,4.515000000000001
38.6,4.6,44,22.5,10,E10,0,0,0,12.5,1.7756,3.1073
12.3,4.8,41,22.5,7,E10,0,0,0,15.5,0.5904,1.0332000000000001
81.2,4.4,69,22.0,13,E10,0,0,0,9.0,3.5728000000000004,6.252400000000001
130.3,4.6,85,22.0,12,E10,0,0,0,10.0,5.9938,10.48915
67.2,4.3,67,22.0,18,E10,0,0,0,4.0,2.8895999999999997,5.056799999999999
43.7,4.7,44,22.0,9,SP98,0,1,0,13.0,2.0539,3.861332
12.1,4.2,43,22.0,4,SP98,0,0,0,18.0,0.5082,0.9554159999999999
56.1,4.8,82,22.0,13,SP98,0,0,0,9.0,2.6928,5.062464
39.0,4.1,61,22.0,16,SP98,0,0,0,6.0,1.5989999999999998,3.0061199999999992
11.8,4.5,41,21.5,13,SP98,0,0,0,8.5,0.531,0.99828
38.5,4.8,63,21.5,14,SP98,0,0,0,7.5,1.848,3.47424
28.2,4.6,54,21.5,14,SP98,0,0,0,7.5,1.2972,2.4387359999999996
2.9,7.4,24,21.5,14,SP98,0,0,0,7.5,0.2146,0.40344800000000003
6.1,5.6,24,21.5,13,SP98,0,0,0,8.5,0.34159999999999996,0.6422079999999999
19.6,4.9,43,21.5,13,SP98,0,0,0,8.5,0.9604000000000001,1.8055520000000003
22.2,3.8,42,21.929521276595743,15,SP98,0,0,0,6.929521276595743,0.8435999999999999,1.5859679999999998
13.6,4.5,44,19.0,18,SP98,0,0,0,1.0,0.612,1.1505599999999998
12.6,4.1,33,21.929521276595743,17,SP98,0,0,0,4.929521276595743,0.5166,0.9712079999999998
8.7,5.3,28,22.5,12,SP98,1,1,0,10.5,0.46109999999999995,0.8668679999999999
7.9,4.7,31,22.5,12,SP98,1,0,0,10.5,0.3713,0.698044
2.4,9.0,26,20.0,10,SP98,0,0,0,10.0,0.216,0.40608
4.9,6.3,26,20.0,10,SP98,0,0,0,10.0,0.30870000000000003,0.580356
18.1,3.6,36,20.0,19,SP98,0,0,0,1.0,0.6516000000000002,1.2250080000000003
25.9,3.7,39,20.0,21,SP98,0,0,0,-1.0,0.9583,1.801604
1.3,11.5,21,20.0,10,SP98,0,0,0,10.0,0.14950000000000002,0.28106000000000003
14.1,5.0,22,20.0,12,SP98,0,0,0,8.0,0.7050000000000001,1.3254000000000001
13.4,5.5,31,20.0,9,SP98,0,0,0,11.0,0.737,1.38556
6.4,4.7,33,20.0,8,SP98,0,0,0,12.0,0.3008,0.565504
12.9,4.5,42,20.0,13,SP98,0,0,0,7.0,0.5805,1.09134
12.1,4.4,33,22.5,5,SP98,0,0,0,17.5,0.5324,1.000912
15.7,4.1,32,22.5,13,SP98,0,0,0,9.5,0.6436999999999999,1.2101559999999998
16.2,4.4,26,22.5,11,SP98,0,0,0,11.5,0.7128,1.340064
12.8,4.6,22,22.5,12,SP98,0,0,0,10.5,0.5888,1.106944
19.0,4.4,58,22.5,17,SP98,0,0,1,5.5,0.8360000000000001,1.57168
29.0,4.0,27,22.5,12,SP98,0,0,0,10.5,1.16,2.1807999999999996
12.1,5.0,32,22.5,9,SP98,0,0,0,13.5,0.605,1.1374
12.3,5.2,55,22.5,10,SP98,0,0,0,12.5,0.6396000000000001,1.202448
24.8,4.0,56,22.5,11,SP98,0,0,0,11.5,0.9920000000000001,1.8649600000000002
12.9,5.1,34,22.5,8,SP98,0,1,0,14.5,0.6578999999999999,1.2368519999999998
11.8,4.5,39,22.5,3,SP98,0,0,0,19.5,0.531,0.99828
31.4,4.6,62,22.5,11,SP98,0,0,0,11.5,1.4444,2.7154719999999997
